iter	RMSE
0	1.712712163
1	1.697384315
2	1.682398446
3	1.667302366
4	1.652570658
5	1.637919676
6	1.623335546
7	1.609105852
8	1.594806232
9	1.580778992
10	1.566782538
11	1.553093036
12	1.53924883
13	1.52581638
14	1.512371626
15	1.49920713
16	1.486355844
17	1.473202938
18	1.460427748
19	1.447728496
20	1.435250575
21	1.423140899
22	1.41054942
23	1.398567205
24	1.386457352
25	1.374499367
26	1.362636365
27	1.350962635
28	1.339409329
29	1.328160676
30	1.316911582
31	1.305858252
32	1.294775027
33	1.283966611
34	1.273160384
35	1.262322974
36	1.251762932
37	1.241324526
38	1.230864297
39	1.220542854
40	1.210375119
41	1.200233477
42	1.190479096
43	1.180512527
44	1.17071079
45	1.160906229
46	1.151405553
47	1.141807456
48	1.13239603
49	1.123268731
50	1.114483979
51	1.105531185
52	1.096363233
53	1.087408765
54	1.078665459
55	1.069861219
56	1.061279776
57	1.052713485
58	1.044205528
59	1.035894749
60	1.02760838
61	1.019343059
62	1.011319353
63	1.00336795
64	0.9955258275
65	0.9877346323
66	0.9801888692
67	0.9727201178
68	0.9651261436
69	0.9576685862
70	0.9502891276
71	0.9430305834
72	0.9358658047
73	0.9285846613
74	0.9216142176
75	0.9146382805
76	0.907670044
77	0.9009719921
78	0.8941884909
79	0.887590871
80	0.8808252439
81	0.8741410837
82	0.8676226132
83	0.8612915771
84	0.8550389874
85	0.848714269
86	0.8426251918
87	0.8365765102
88	0.8306097397
89	0.8247498495
90	0.818751664
91	0.8128453341
92	0.8068912642
93	0.8011390072
94	0.7954607211
95	0.789847243
96	0.7844792636
97	0.7791878825
98	0.7738490557
99	0.7684430878
100	0.7630410442
101	0.7579159859
102	0.7527326511
103	0.7475354676
104	0.7424983772
105	0.7375081226
106	0.7325571664
107	0.7277764688
108	0.722921462
109	0.7181773187
110	0.7135271656
111	0.7087599757
112	0.7042668676
113	0.699696142
114	0.6952169939
115	0.6908515998
116	0.6866071355
117	0.6823210838
118	0.6780157973
119	0.6738211677
120	0.6696182256
121	0.6654663115
122	0.661397531
123	0.6573587576
124	0.653537193
125	0.649549899
126	0.6456591818
127	0.6417613071
128	0.6379530968
129	0.6342071199
130	0.6305602164
131	0.6268772278
132	0.6233315115
133	0.6198055029
134	0.6162966996
135	0.612781043
136	0.6092961955
137	0.6058930834
138	0.6025589047
139	0.5993031491
140	0.5961522324
141	0.5929371101
142	0.5896648822
143	0.5866757438
144	0.5835386873
145	0.5805295305
146	0.577424312
147	0.5743672496
148	0.5714575199
149	0.5685557942
150	0.5656594838
151	0.5627670669
152	0.5600613898
153	0.5573793904
154	0.5546733799
155	0.5520175166
156	0.5493924119
157	0.5468133367
158	0.5442774795
159	0.5418199201
160	0.5394498155
161	0.536903191
162	0.5345951004
163	0.5322203425
164	0.5298749193
165	0.5276377045
166	0.5253548705
167	0.523038328
168	0.5208322686
169	0.518588811
170	0.5163111157
171	0.5141906018
172	0.5120893395
173	0.5100484943
174	0.508003748
175	0.5059548346
176	0.5039226975
177	0.5018810779
178	0.4999406611
179	0.4980204119
180	0.496231689
181	0.4944118132
182	0.4925477788
183	0.4907398516
184	0.4889046222
185	0.4871413418
186	0.4853065165
187	0.4836841508
188	0.4819977335
189	0.4804167164
190	0.478845291
191	0.477287866
192	0.4756509181
193	0.4741358377
194	0.472584728
195	0.4710330789
196	0.4694790355
197	0.4679590442
198	0.4664504698
199	0.4650232575
200	0.4636432716
201	0.4622611536
202	0.4609453911
203	0.4595885916
204	0.4582937325
205	0.456937543
206	0.4556205397
207	0.4542629113
208	0.4530122762
209	0.4517185645
210	0.4505598398
211	0.4493340849
212	0.4481111825
213	0.4469114203
214	0.4456926414
215	0.4445102546
216	0.4433795915
217	0.4423069627
218	0.441232803
219	0.4401806349
220	0.439097503
221	0.437983322
222	0.4369619506
223	0.4359201828
224	0.434948343
225	0.4339353758
226	0.4329505276
227	0.4320233406
228	0.4311212116
229	0.430170835
230	0.4292826648
231	0.4283893127
232	0.4274941802
233	0.4265165117
234	0.4256859607
235	0.4248313111
236	0.4240198023
237	0.423134591
238	0.4223500137
239	0.4215148884
240	0.4206844721
241	0.4198983835
242	0.4190562219
243	0.4182917788
244	0.4175013096
245	0.4167738952
246	0.4160365962
247	0.4153128339
248	0.4145547268
249	0.4138241336
250	0.4131140823
251	0.4123980831
252	0.4116946
253	0.4110297359
254	0.4102750345
255	0.4096757695
256	0.4089943419
257	0.4083597221
258	0.4077091328
259	0.4070824707
260	0.4064775514
261	0.4057808394
262	0.4052116266
263	0.4046032649
264	0.4040128057
265	0.4034255271
266	0.4029032262
267	0.4023817982
268	0.4018703281
269	0.4013064481
270	0.4007547157
271	0.400243185
272	0.3996916559
273	0.399196392
274	0.3987339432
275	0.3982251307
276	0.3977260051
277	0.3972231359
278	0.3967520117
279	0.3963037035
280	0.3958881975
281	0.3954180455
282	0.3949432138
283	0.3945165565
284	0.3940849726
285	0.3936916555
286	0.3932581493
287	0.3929074899
288	0.3924210301
289	0.3920436185
290	0.3916145586
291	0.3912042858
292	0.3907314873
293	0.3903560902
294	0.3899984607
295	0.3894489602
296	0.3890091651
297	0.388683678
298	0.3883012745
299	0.3879298698
300	0.3875239337
301	0.387215355
302	0.3868760412
303	0.3864453477
304	0.3861111959
305	0.3857834913
306	0.3854917695
307	0.3851615279
308	0.38479667
309	0.3844779456
310	0.3840794355
311	0.3838031124
312	0.3834929416
313	0.3832398486
314	0.3828587915
315	0.3825657659
316	0.3822556411
317	0.3819598218
318	0.3816923077
319	0.3813971501
320	0.3811911946
321	0.3809259904
322	0.3806592968
323	0.3803865929
324	0.3800551057
325	0.3797957477
326	0.3795439893
327	0.3792844744
328	0.3790399497
329	0.3787974277
330	0.3785798251
331	0.3783422863
332	0.3781077192
333	0.3778652118
334	0.3776377959
335	0.3774033176
336	0.3772003287
337	0.3769189045
338	0.3767177688
339	0.3764676586
340	0.376256111
341	0.3760476987
342	0.3758341352
343	0.3756100968
344	0.375429496
345	0.3751668929
346	0.3748705568
347	0.3746666533
348	0.3743945708
349	0.3741822215
350	0.3739743699
351	0.3737511935
352	0.3735724564
353	0.3733237799
354	0.3731340607
355	0.3728983039
356	0.3727048698
357	0.3725187277
358	0.3721284972
359	0.3719201705
360	0.37149573
361	0.3713146425
362	0.3711605998
363	0.3710067151
364	0.3706691667
365	0.3704756988
366	0.3702904023
367	0.3701109525
368	0.3699366293
369	0.3697834621
370	0.3696133759
371	0.3692929528
372	0.3691457284
373	0.3689986498
374	0.3687541079
375	0.3684287789
376	0.3682304375
377	0.3680209802
378	0.3678997029
379	0.3677571291
380	0.3676233905
381	0.3675025356
382	0.3673755931
383	0.3672338734
384	0.3671031676
385	0.3669666236
386	0.3668245698
387	0.3667095901
388	0.3665798346
389	0.3664196529
390	0.3662692812
391	0.366100077
392	0.3658380296
393	0.3656060575
394	0.3654617304
395	0.3653530938
396	0.365223449
397	0.3650185793
398	0.3648456076
399	0.3646721309
400	0.3645010742
401	0.3643452329
402	0.3642208988
403	0.3639120975
404	0.3637986036
405	0.3636856922
406	0.3635775243
407	0.3634809885
408	0.3632975116
409	0.3631536383
410	0.3629884201
411	0.362896332
412	0.3627580876
413	0.3625624031
414	0.3624301428
415	0.3623028954
416	0.3621737541
417	0.3619159591
418	0.3618308931
419	0.3616358364
420	0.3615453574
421	0.3614125821
422	0.361294416
423	0.3611771205
424	0.360993551
425	0.360885628
