iter	Passed	Remaining
0	8	10035
1	16	9820
2	23	9483
3	31	9341
4	38	9082
5	44	8832
6	52	8954
7	60	9013
8	68	9086
9	76	9109
10	84	9086
11	92	9118
12	100	9167
13	107	9111
14	116	9199
15	124	9234
16	134	9357
17	142	9384
18	156	9757
19	166	9806
20	173	9753
21	183	9802
22	191	9796
23	194	9530
24	205	9643
25	215	9728
26	223	9722
27	232	9721
28	239	9660
29	240	9387
30	248	9369
31	255	9339
32	264	9341
33	271	9326
34	279	9304
35	288	9343
36	299	9423
37	311	9526
38	320	9542
39	329	9541
40	337	9546
41	345	9538
42	354	9532
43	362	9530
44	370	9519
45	379	9517
46	387	9495
47	395	9498
48	398	9371
49	407	9371
50	415	9359
51	422	9334
52	430	9314
53	438	9312
54	446	9297
55	454	9281
56	462	9267
57	469	9237
58	476	9224
59	484	9203
60	491	9182
61	499	9160
62	506	9134
63	514	9130
64	523	9133
65	531	9124
66	538	9110
67	546	9098
68	554	9093
69	562	9072
70	569	9052
71	576	9024
72	586	9050
73	593	9033
74	602	9030
75	609	9009
76	616	8995
77	624	8976
78	631	8965
79	639	8958
80	647	8951
81	655	8942
82	663	8923
83	671	8918
84	677	8893
85	686	8886
86	693	8873
87	700	8854
88	708	8841
89	716	8835
90	724	8827
91	731	8814
92	739	8800
93	747	8792
94	754	8780
95	761	8762
96	769	8753
97	776	8734
98	785	8739
99	793	8726
100	801	8722
101	808	8699
102	816	8694
103	823	8674
104	831	8672
105	838	8654
106	847	8659
107	854	8644
108	864	8650
109	872	8645
110	880	8639
111	891	8658
112	900	8662
113	907	8644
114	916	8648
115	923	8632
116	932	8629
117	942	8644
118	952	8654
119	961	8651
120	968	8640
121	976	8632
122	985	8625
123	996	8644
124	1004	8636
125	1013	8636
126	1020	8620
127	1028	8612
128	1036	8605
129	1046	8615
130	1056	8618
131	1063	8602
132	1070	8590
133	1077	8575
134	1086	8569
135	1094	8558
136	1101	8548
137	1108	8533
138	1115	8517
139	1124	8510
140	1132	8503
141	1139	8493
142	1147	8480
143	1154	8465
144	1161	8448
145	1168	8432
146	1175	8419
147	1182	8406
148	1190	8396
149	1198	8386
150	1206	8382
151	1213	8367
152	1222	8363
153	1228	8344
154	1236	8337
155	1243	8323
156	1252	8319
157	1259	8308
158	1266	8294
159	1274	8285
